#item,x,y,width,height,label
0,77.714432,625.777152,171.681792,187.42886399999998,1
1,18.284544000000004,778.159104,122.413056,178.793472,1
2,179.30240000000003,795.936768,201.650176,318.984192,1
3,407.365632,890.412288,183.873536,248.88883199999998,1
4,431.74604800000003,759.365376,211.810304,129.5232,1
5,512.5079039999999,638.475264,134.602752,120.889344,1
6,713.6512,645.080064,106.665984,178.793472,1
7,738.031616,816.7610879999999,126.476288,182.349312,1
8,833.016832,727.36512,101.586944,178.793472,1
9,804.5711359999999,995.5560959999999,115.810304,222.475776,1
10,753.7776640000001,967.6193279999999,110.729216,166.09536,1
11,1011.3024,582.0948480000001,124.444672,170.15808,1
12,955.4288640000001,727.3651199999999,188.952576,311.87251200000003,1
13,1111.3646079999999,844.6993920000001,80.254976,127.99948800000001,1
14,1414.0948480000002,725.84064,143.745024,220.445184,1
15,1562.92096,419.55532800000003,198.094848,274.793472,1
16,1677.2065280000002,545.523456,158.984192,145.27027199999998,1
17,1678.73024,625.777152,154.413056,253.968384,1
18,1846.8556800000001,585.650688,176.76288,262.60377600000004,1
19,1985.5237120000002,461.205504,62.47628799999984,120.889344,1
