#item,x,y,width,height,label
0,22.124544,693.9543975,150.913024,149.296875,1
1,263.901184,864.974565,100.74112,197.48274,1
2,404.148224,625.2293775,234.27072,225.13081499999998,1
3,389.53062400000005,791.90475,102.320128,175.76012999999998,1
4,658.963456,464.4787875,147.75296,121.25431499999999,1
5,609.185792,600.3467925000001,79.01184,90.84211499999999,1
6,676.345856,648.53334,118.51776,190.37382000000002,1
7,755.3576959999999,796.249545,135.901184,291.08898,1
8,1123.9505920000001,527.2783425,282.468352,179.70907499999998,1
9,1425.383424,685.2648075000001,127.209472,144.557595,1
10,1389.0365439999998,775.711755,173.828096,139.02797999999999,1
11,1017.2835839999999,658.8022349999999,188.839936,305.70267,1
