#item,x,y,width,height,label
0,257.9456,480.0768,130.048,84.9408,1
1,197.93920000000003,552.0383999999999,184.9344,266.95680000000004,1
2,526.0288,378.0096,159.9488,329.9328,1
3,743.0144,357.0432,210.944,260.0448,1
4,884.9408,434.07359999999994,188.0064,360.96,1
5,1061.8880000000001,346.06080000000003,174.08,188.928,1
6,1054.0031999999999,545.0496,134.9632,111.0528,1
7,1202.9952,517.0944000000001,129.024,237.9264,1
8,1285.12,634.0608,72.9088,125.952,1
9,1282.048,199.06560000000002,133.9392,258.9696,1
10,1494.1184,179.94240000000002,141.9264,182.016,1
11,1473.9456,465.02400000000006,167.936,284.928,1
12,1442.0991999999999,749.0304000000001,193.9456,276.94079999999997,1
13,1488.0768,1013.9904000000001,83.968,64.0512,1
14,1682.0223999999998,541.056,188.0064,342.98879999999997,1
15,1613.1072,618.0863999999999,98.9184,129.94559999999998,1
16,1863.9871999999998,784.0512,114.0736,76.9536,1
