#item,x,y,width,height,label
0,1654.9140479999999,697.904025,200.296448,369.29256000000004,1
1,1798.321152,680.920695,163.555328,303.33303,1
2,1949.6304639999998,663.9366825,98.369536,180.89389500000001,1
3,95.604736,609.0357,114.171904,189.189,1
4,0.3962880000000055,395.359965,86.51776,129.15357,1
5,288.790528,321.50254499999994,173.432832,447.10029000000003,1
6,562.569216,345.1996275,162.369536,495.28615499999995,1
7,108.24704,232.63490250000007,176.197632,471.193905,1
8,913.7786880000001,872.8731375,111.407104,145.346565,1
9,905.481216,475.14284999999995,160.790528,245.27411999999998,1
10,1266.568192,700.66815,153.679872,87.68214,1
11,775.506944,499.2357825000001,154.073088,428.537655,1
12,689.3824,706.5929325000001,129.97632,239.74450499999998,1
13,461.0375680000001,531.62382,152.49408,133.89284999999998,1
