#item,x,y,width,height,label
0,666.0096000000001,1026.0480000000002,260.9152,250.98239999999998,1
1,1037.0048,1053.0048,173.056,299.05920000000003,1
2,1417.0112,749.952,117.9648,244.0704,1
3,33.99680000000001,847.9488,106.0864,193.0752,1
4,128.1024,765.0047999999999,177.9712,193.0752,1
5,7.065600000000003,649.9584,141.9264,205.056,1
6,630.0672,643.0464,161.9968,256.9728,1
7,824.1152000000001,633.984,99.9424,158.05440000000002,1
8,817.1519999999999,832.9728,174.8992,176.0256,1
9,1129.9840000000002,669.0816,105.0624,219.9552,1
10,1251.9424000000001,588.9792,129.024,229.01760000000002,1
11,1082.0608,874.0608,177.9712,178.0224,1
12,1511.9360000000001,367.9488,186.9824,335.0016,1
13,1533.0304,660.0192000000001,261.9392,293.99039999999997,1
14,1931.0592,620.0064,115.9168,268.9536,1
15,1388.032,663.0144,128.0,92.0064,1
16,940.9536,993.0239999999998,123.904,121.0368,1
