#item,x,y,width,height,label
0,1791.9989759999999,898.0316160000001,156.952576,209.77766400000002,1
1,1815.872512,717.2067839999999,144.254976,198.603264,1
2,676.062208,510.98419199999995,150.857728,292.064256,1
3,774.602752,525.206016,138.15808,190.47628799999998,1
4,530.284544,796.443648,245.84192,253.968384,1
5,1038.221312,537.9056639999999,180.826112,345.904128,1
6,1196.6976,457.142784,122.413056,253.968384,1
7,1295.23712,533.3337600000001,125.46048,185.396736,1
8,1560.3814399999999,993.5232000000001,6.094848,1.5237120000000002,1
9,1271.364608,817.269504,296.634368,177.778176,1
10,1502.985216,217.396992,171.681792,368.254464,1
11,1807.747072,431.745792,197.07904,142.72972800000002,1
12,1620.318208,474.413568,132.063232,211.301376,1
13,1508.0632320000002,533.3329919999999,121.905152,172.698624,1
14,1528.3814399999999,755.30112,120.889344,141.206016,1
15,1590.3498240000001,680.635392,185.905152,171.681792,1
16,218.92095999999998,587.1744,177.778688,212.825088,1
17,195.04742399999998,345.904128,249.397248,195.04742400000003,1
18,263.61958400000003,631.364352,302.729216,389.07955200000004,1
19,420.57216000000005,439.36512000000005,287.492096,338.285568,1
20,1.5226880000000023,563.301888,220.444672,230.09587199999999,1
21,0.5079040000000035,472.889088,116.826112,204.69811199999998,1
