#item,x,y,width,height,label
0,451.8912,417.07574999999997,209.1008,481.98150000000004,1
1,833.9456,738.94275,231.0144,503.0025,1
2,690.0735999999999,383.9745,320.9216,806.9879999999999,1
3,146.0224,298.04775,183.9104,169.9425,1
4,124.0064,474.06449999999995,166.912,361.998,1
5,0.9216000000000122,76.98600000000005,254.976,330.05699999999996,1
6,1119.9488000000001,274.02374999999995,146.0224,198.0615,1
7,1187.9424,487.03200000000004,114.0736,140.049,1
8,1435.9551999999999,442.9425000000001,118.9888,377.013,1
9,1780.0192000000002,483.00524999999993,166.912,239.0115,1
10,1856.0,188.98425,137.0112,107.9715,1
