#item,x,y,width,height,label
0,385.024,811.0847999999999,99.9424,72.96000000000001,1
1,538.9312,688.9728,103.0144,103.06560000000002,1
2,522.8544,757.9391999999999,149.0944,209.0496,1
3,688.9472000000001,912.0,106.0864,205.056,1
4,845.1071999999999,1090.0991999999999,157.9008,180.9408,1
5,1003.9296,1126.0416,138.0352,156.05759999999998,1
6,1083.904,968.0640000000002,128.0,174.9504,1
7,1102.1312,421.93919999999997,123.904,250.98239999999998,1
8,1196.9536,555.0336,143.9744,315.0336,1
9,1261.9776,863.0784000000001,142.9504,227.94240000000002,1
10,1417.9327999999998,873.9072,89.088,166.04160000000002,1
11,1503.0272,851.0208,90.9312,174.9504,1
12,1536.0,601.9584,113.0496,254.976,1
13,1604.9152,707.0207999999999,177.9712,340.0704,1
14,1812.992,907.0079999999999,109.9776,125.952,1
15,1871.9744,844.9535999999999,103.0144,109.9776,1
