#item,x,y,width,height,label
0,3.1610880000000066,465.66429,131.950592,240.13899,1
1,136.29542400000003,554.9264175,229.926912,228.289425,1
2,131.95059199999997,1052.1870450000001,186.073088,187.60833000000002,1
3,424.692736,319.52739,218.073088,342.43481999999995,1
4,495.012864,429.326625,252.839936,410.76399000000004,1
5,828.4436479999999,607.8515625,112.592896,115.330215,1
6,619.456512,151.27203,306.962432,292.66965,1
7,1271.703552,778.87173,196.345856,358.23333,1
8,1437.2352,783.2165249999999,256.0,476.72352,1
9,1686.1235199999999,755.56845,238.221312,261.8616,1
10,1603.9505920000001,348.75408749999997,370.171904,199.06204499999998,1
11,1653.72928,521.35356,254.418944,220.78602,1
