#item,x,y,width,height,label
0,811.0079999999999,831.012,81.92,125.034,1
1,564.9408,547.97925,143.9744,242.01450000000003,1
2,707.072,650.9685,91.9552,209.93699999999998,1
3,1291.0592,584.0152499999999,106.9056,198.0615,1
4,1413.0176,776.958,148.0704,174.99300000000002,1
5,1803.9808,628.9920000000001,132.096,254.982,1
6,1909.0432,599.03025,107.9296,106.0605,1
7,1906.9952,705.9780000000001,91.9552,141.95999999999998,1
8,1991.9872,691.9867499999999,48.9472,190.96349999999998,1
9,1072.9471999999998,456.04650000000004,122.0608,123.94200000000001,1
10,998.0927999999999,559.9229999999999,193.9456,318.045,1
11,912.9984,688.9837500000001,124.928,258.9405,1
