#item,x,y,width,height,label
0,1806.222336,1128.1267200000002,156.952576,241.27027199999998,1
1,649.142272,667.936512,187.428864,430.222848,1
2,758.856704,558.729984,212.318208,419.04691199999996,1
3,355.555328,340.826112,192.0,357.586944,1
4,347.42886400000003,649.142784,266.665984,277.840896,1
5,66.53952000000001,841.1427839999999,263.61856,236.19072,1
6,182.349824,859.93728,180.826112,338.285568,1
7,1155.555328,761.9043839999999,176.254976,269.71392000000003,1
8,1074.285568,833.0165759999999,163.555328,266.666496,1
9,928.5079039999999,501.332736,241.270784,327.111168,1
10,1417.142272,677.5864320000001,184.38144,358.60377600000004,1
11,1163.1738879999998,126.98342400000001,120.889344,115.80979200000002,1
12,1536.5079039999998,460.18944,261.586944,285.46099200000003,1
13,1593.3972480000002,759.873024,253.968384,379.428864,1
