#item,x,y,width,height,label
0,327.0656,813.06225,151.9616,303.9855,1
1,184.93439999999998,788.97,156.0576,324.051,1
2,124.1088,716.01075,99.9424,103.05749999999999,1
3,0,632.9505,58.9824,208.026,1
4,601.9072,532.00875,231.0144,374.9655,1
5,395.9808,435.98100000000005,132.9152,315.04200000000003,1
6,1197.9776000000002,234.02925000000002,252.928,166.9395,1
7,1379.9424,465.0555,158.9248,288.015,1
8,1528.0128,695.0580000000001,126.976,215.943,1
9,1588.0192,408.06675000000007,172.032,315.9975,1
10,1803.9808,532.0087500000001,229.9904,297.9795,1
11,1967.0016,724.9515,80.0768,327.05400000000003,1
12,880.128,427.99575000000004,150.9376,276.9585,1
13,745.984,240.03525,177.9712,276.9585,1
14,438.98879999999997,231.91349999999997,146.0224,223.041,1
15,530.944,171.98999999999992,266.0352,349.98600000000005,1
16,919.04,596.0955,132.096,209.93699999999998,1
17,1045.0944,642.9832500000001,92.9792,196.9695,1
18,1199.104,712.9395,185.9584,177.99599999999998,1
19,1158.8608000000002,492.01425000000006,166.0928,267.9495,1
20,1463.9104,534.9435,154.0096,327.05400000000003,1
21,500.9408,501.97875,104.0384,239.0115,1
