#item,x,y,width,height,label
0,1334.8556800000001,1145.904384,112.76288,138.158592,1
1,829.968384,1242.4135680000002,112.76288,103.61856,1
2,12.698624000000002,750.7292160000001,98.53952,104.635392,1
3,25.396224000000004,669.4602239999999,155.428864,132.06374399999999,1
4,558.729216,644.063232,123.936768,250.92096,1
5,416.001024,577.523712,171.173888,298.665984,1
6,442.92096,290.03136,206.221312,368.254464,1
7,717.205504,495.238656,185.905152,322.031616,1
8,818.793472,718.730496,144.76288,133.587456,1
9,883.810304,960.000768,122.413056,206.22182399999997,1
10,953.9041279999999,928.5089280000001,147.810304,155.42784,1
11,1027.047424,698.413056,136.126464,293.587968,1
12,1010.7944959999999,517.0790400000001,190.476288,184.38144,1
13,1213.968384,512.5079039999999,129.015808,320.507904,1
14,1431.8725120000001,858.4128,103.110656,136.63488,1
15,1375.9989759999999,632.8888320000001,147.810304,149.332992,1
16,1406.476288,753.7781759999999,190.476288,218.919936,1
