#item,x,y,width,height,label
0,1345.024,756.00525,164.0448,496.99649999999997,1
1,1613.0048000000002,556.9882499999999,192.1024,620.9385000000001,1
2,1657.0367999999999,401.99250000000006,117.9648,214.03199999999998,1
3,850.0224,771.9757500000001,168.96,385.0665,1
4,663.04,518.0174999999999,200.0896,520.065,1
5,485.06879999999995,358.92674999999997,157.9008,287.05949999999996,1
6,586.0352,652.0605,89.088,227.955,1
7,651.0592,1036.9905,74.9568,316.953,1
8,176.0256,736.9635000000001,123.0848,156.975,1
9,182.8864,244.06199999999998,242.0736,150.969,1
10,0.921599999999998,282.009,182.0672,390.936,1
